domain,Char_clean,Words_clean,Tokens
digientitas.fi,230,40,43
digiexpertti.fi,181,32,32
digihappy.fi,679,122,125
digilec.fi,22,4,4
digiole.com,1666,296,299
digiot.fi,45,6,7
digipeople.fi,111,20,21
digiphilos.com,389,54,57
digipool.fi,735,122,134
digiscoop.com,37,5,5
digisomnia.com,164,28,28
digistars.com,2714,386,451
digitaalinentehdas.fi,244,31,33
digitaldogsitter.com,5462,955,997
digitalflask.com,8370,1239,1316
digitalpalola.com,177,23,54
digitalrebel.fi,2427,424,429
digitalrocketfactory.com,253,43,44
digitalwavetechnology.com,6416,859,882
digitalworkforce.com,2239,322,336
digitari.fi,28,5,5
digitelakka.com,1342,250,278
digitus.fi,180,29,30
digiveljet.fi,1088,180,256
digivirta.fi,43,8,8
dignify.fi,1359,234,240
dilaw.fi,1359,205,220
dilia.fi,625,108,141
dimecc.com,1350,199,215
dimeco.fi,1534,229,237
dingtea.com,331,52,58
dining.fi,32,6,6
dinolift.com,976,173,203
dionysosfilms.fi,2192,355,439
diory.me,155,22,28
diploi.com,425,72,78
dirgagames.com,888,150,179
dirty.fi,2572,467,495
discofix.fi,218,37,37
discoveringfinland.com,917,149,167
discoverystreet.fi,71,13,13
discoverytelecom.fi,1584,213,269
disegon.fi,522,82,98
diserve.com,465,57,59
disior.com,1814,264,287
diskopictures.fi,170,25,47
diskurssi.fi,26,6,7
dispelix.com,1918,293,331
distanssi.com,366,59,67
distence.fi,298,44,51
distillium.com,98,18,18
distio.fi,29,6,6
distri.fi,1595,240,246
divi.fi,180,29,30
dka.io,6231,1008,1105
dlapiper.com,28,5,5
dmf.fi,809,104,113
dmgstudios.fi,61,10,11
dmkoy.fi,1022,149,160
dnb.com,4106,669,682
dnwpartners.com,89,12,13
dobra.fi,8579,1285,1412
docemilia.com,1721,268,347
docommit.com,449,78,94
doctorvit.eu,2003,276,287
docue.com,3641,619,649
documill.com,1725,250,272
dodreams.com,425,78,84
dogcorner.net,369,63,73
doggywear.shop,118,22,26
dogit.fi,180,29,30
dogiter.fi,71,13,13
dogomo.fi,71,13,13
dogoodbrew.fi,1052,182,190
dohan.dev,3318,576,648
doitright.fi,101,20,20
dokk.fi,180,29,30
dokport.com,563,92,95
doktum.fi,443,73,84
doleastraw.com,498,83,95
dolphinkiss.com,328,53,63
domain-suomi.fi,454,80,81
domisi.fi,3274,454,831
domoravintola.fi,32,6,6
done.enterprises,127,19,19
done.fi,180,29,30
donfilms.fi,26,6,6
donmorrispalvelut.com,330,58,62
donnerproductions.fi,1454,228,232
doof.fi,147,28,28
doofor.com,1445,232,250
doony.fi,37,5,5
dooris.fi,729,126,142
doracollar.com,666,100,106
dosagos.com,586,90,94
dot.com,49,10,10
dot.legal,877,135,149
double.ventures,785,123,174
doubledot-studios.com,553,88,91
doublehappiness.fi,362,58,66
doubleopen.io,7943,1191,1291
doublepoint.com,2748,452,480
doughsound.fi,1961,333,346
douglasblackheaton.com,672,109,132
dpapartments.fi,2171,394,409
dphu.org,13835,2067,2824
dqcomms.com,324,64,64
dragetarr.fi,1572,253,281
dragonwhite.com,29,6,6
dragoonmilitaria.com,1103,179,195
drainman.fi,32,6,6
draivi.com,1666,272,292
draivi.fi,180,29,30
drakkarsport.com,71,13,13
dreamatik.com,152,26,28
dreamcare.fi,247,44,44
dreamcozy.com,51,8,13
dreamdevices.io,662,102,108
dreamloop.net,4483,749,823
dreamone.fi,80,16,16
dresslikea.com,3675,619,690
drf.fi,180,29,30
driim.fi,180,29,30
drinkdata.eu,3515,455,475
drinkglobe.com,204,34,36
drinklif.fi,202,39,41
driveco.fi,676,100,112
drkylmataonta.fi,44,10,11
dro.fi,180,29,30
droicelabs.com,2443,370,420
dronebundle.com,7617,1031,1073
dronekeskus.fi,4328,642,726
drop.fi,10495,1498,2644
drumandcolours.com,2182,360,423
drytec.fi,171,27,28
dsharp.fi,279,41,45
dtgfinland.fi,107,21,21
dth.fi,1097,207,212
dti.fi,976,144,161
dtsa.fi,265,40,52
dubs.fi,3190,514,528
duckandsail.com,27,5,5
dudu.land,164,28,28
duetto.fi,61,11,12
dunbar.fi,87,16,16
dunderfelt.digital,87,16,16
duol.eu,2708,403,452
duoli.fi,87,20,20
duopoint.fi,35,5,5
duotone.fi,189,27,40
durat.fi,362,59,79
duuti.tech,120,24,24
duwelgroup.com,426,65,70
dvaya.fi,1542,222,233
dxsoftagency.com,1677,271,280
dynago.de,10427,1521,1686
dynamics-software.com,890,151,154
dynamint.fi,1888,311,337
dyntac.com,100,14,14
e-asema.fi,111,20,21
e-brands.co,1945,292,301
e-heat.io,1003,169,178
e-smart.ai,1774,284,287
eacompany.fi,3221,535,582
eagle.org,565,75,88
eaglecargo.fi,43,8,10
eaglefilters.fi,121,20,23
eaglefiltersgroup.com,588,80,82
eagleproducts.fi,251,41,43
eakurssi.net,29,6,6
eano.fi,2207,337,345
ears.asia,669,100,107
earthlingo.io,961,168,188
earthschool.world,32,6,6
earthtech.fi,201,34,39
eastfilm.fi,2364,354,614
eastoffice.fi,669,98,109
eaststudios.fi,642,110,119
easy-host.fi,5214,629,1195
easy-menu.io,134,19,19
easy.ac,45,8,8
easyblast.fi,32,6,6
easybook.fi,71,13,13
easydriver.fi,523,95,95
easyfloorplanner.com,124,25,26
easyswim.fi,192,37,44
easytravel.eu,33,6,6
easywhistle.com,9749,1399,2381
eatplantsbyus.com,61,13,13
eatshootdrive.com,4504,687,712
eav.fi,87,17,17
eazyem.com,71,13,13
ebax.fi,2629,384,400
ebbafastigheter.fi,1153,180,199
ebblo.com,2047,303,328
ebeneserkyrkan.fi,130,24,24
ebesol.com,32,6,6
eblc.org,1144,181,251
ebmanagement.fi,119,17,38
ebsotech.com,343,45,48
eccanordic.com,1410,222,245
ecce-re.fi,189,33,36
ecococon.eu,2342,353,415
ecolab.com,11494,1727,2047
ecoliving.global,58,11,12
ecolution.fi,75,14,14
ecomal.com,1451,235,296
ecomation.com,214,29,32
econex.fi,355,64,67
ecotelematics.com,1502,230,244
ecovis.fi,1302,203,216
ecoweedkiller.com,169,24,26
ecs.codes,5487,721,785
ecsgroup.aero,416,64,75
ecw.fi,3074,482,515
ecyc.fi,51,13,14
edda-marketing.com,71,13,13
eddies.fi,2547,453,530
edelcity.com,1840,287,324
edenaccounts.com,1140,193,199
edgeup.eu,180,29,30
editaprima.fi,763,92,97
edlyhelsinki.com,66,12,14
edrmedeso.com,5638,855,949
edu1step.com,48,9,9
eduborealis.com,4562,705,827
educationhousefinland.com,93,16,16
educlusterfinland.fi,534,80,89
edunation.co,32,6,6
eduro.fi,32,6,6
eduten.com,35,7,7
eduzolve.com,1846,274,294
eee.do,7957,1192,1301
eeneman.com,684,109,113
eepsoft.fi,1035,143,154
eeroalho.com,202,39,41
eeroikarinen.com,307,50,100
eerolehtimaki.com,2081,326,476
eevamakinen.com,1334,222,278
eeviahealth.com,4068,594,689
efektimaalaus.fi,29,6,6
effe.fi,155,25,27
effimet.fi,87,16,16
efratigroup.fi,305,46,59
eggaxy.com,1121,183,193
eggo.fi,180,29,30
eglo.com,37,4,4
egokills.net,43,5,9
egotrainer.fi,222,42,42
eh-import.fi,8,2,2
ehasa.org,1362,225,246
eiab.fi,1027,184,188
eijaliisa.fi,37,5,5
eilola.fi,28,5,5
eioo.fi,71,13,13
eiraopenair.fi,87,16,16
eirashipping.com,2195,326,363
eit-culture-creativity.eu,1233,175,183
ekacomposite.com,1245,208,230
ekapalvelut.fi,89,17,17
ekavesi.fi,238,29,36
ekenas-dackmarket.com,32,6,6
ekloftalous.fi,257,50,57
ekoaly.fi,26,4,5
ekodiili.fi,22,4,4
ekogrid.fi,3755,630,669
ekopoli.fi,40,8,10
ekotekt.com,2670,400,423
eksentria.fi,7831,1193,1438
eksh.fi,991,142,153
ekspera.com,3167,534,567
ektahelsinki.fi,683,115,128
ekvator.fi,170,34,54
elabs.fi,328,48,51
eladaus.com,837,139,149
elainlaakarikatrimoisala.fi,202,39,41
elainlaakarinokia.fi,202,39,41
elamamarketing.com,3424,556,581
elamasikunnossa.com,454,80,81
elamasiremppa.fi,202,39,41
elaunelmiasi.fi,88,18,18
elbitsystems.com,57,11,11
elbove.fi,71,13,13
elcoflex.com,1788,269,323
elcoteq.com,1989,317,333
ele.fi,2938,438,472
eleaga.fi,2218,347,372
eleca.fi,147,21,23
electronova.fi,181,40,41
electronsolutions.my.canva.site,226,33,34
elekta.com,82,14,15
elektrobit.com,3563,508,551
elementa.fi,132,19,21
elementbeauty.fi,26,6,6
elementic.com,119,16,18
elevaria.fi,41,8,10
elevenhelsinki.fi,271,38,44
elexive.com,2121,343,356
elfys.fi,52,11,13
eliasdonerkebab.fi,581,101,129
eliasrobot.com,1881,309,334
eliassantavuori.com,533,89,95
eliela.fi,170,25,47
elifts.fi,78,14,14
eliittisahko.fi,316,52,73
elinabrotherus.com,164,24,25
elinatervo.com,2116,382,388
eliteben.fi,55,10,12
elitecars.fi,202,39,41
elitemobile.org,202,39,41
elitetrainers.fi,131,20,20
elivio.fi,163,20,20
elixirphysique.fi,29,6,6
ellah.fi,26,6,6
ellie.ai,802403,108920,110250
ellisnichol.com,87,16,16
elmc.com,2379,373,403
elmemetall.fi,398,59,60
elodrinks.com,202,39,41
elomatic.com,6993,1062,1107
elozo.fi,220,34,35
elpa.fi,1098,207,212
elpproductions.com,171,32,40
eltelnetworks.com,12901,2097,2374
elton.fi,180,29,30
eltrotec.fi,1266,192,195
elukkamania.fi,524,56,134
elusive.fi,654,103,108
elvania.co,128,20,21
emabler.com,204,40,44
emancopyco.com,4579,816,852
emathstudio.com,3441,562,613
embelin.fi,4469,744,782
emblacom.com,464,78,80
emblica.fi,192,27,30
emdteurope.com,2510,354,384
emergem.fi,55,10,12
emersonten.com,4291,705,752
emibyte.com,1529,231,256
eminko.com,8130,1303,1349
eminusindustries.com,61,9,9
emkor.fi,109,22,22
emmamieskonen.fi,202,39,41
emmi.ventures,26,6,6
emmiida.world,71,13,13
empirepictures.fi,173,31,35
employ.fi,1364,208,213
empower.eu,829,126,132
emptyhill.com,27,5,5
emptymonkey.com,43,9,9
empyreanhusky.com,2259,427,456
emri.fi,32,6,6
enablebanking.com,6343,970,1023
enacc.eu,1963,242,258
encavis.com,889,155,163
ence.fi,141,27,30
enchante.fi,70,11,11
enconsult.fi,864,123,139
encourage.fi,4153,656,664
endgame.graphics,1012,185,190
endonos.fi,32,6,6
endra.no,795,124,130
enefit.fi,1509,220,318
enercon.de,197,30,32
energiajuomat.fi,16453,2102,5415
energiapu.fi,49,9,9
energiavfx.com,3384,554,581
energineering.fi,26,6,6
energosave.com,16,4,4
energybalance.se,93,17,17
enerim.com,1737,259,274
enermin.net,204,29,33
enermiq.com,856,119,128
enersense.com,829,126,132
enfuce.com,2149,349,361
englishplayschool.net,1117,194,209
engwater.fi,218,37,37
enico.fi,4631,702,743
enj-oy.com,15,3,3
enkelinevaspussi.com,32,6,6
enko.fi,257,37,40
enlapser.com,2070,302,352
enmac.fi,8010,1046,2181
ennetool.com,177,30,36
enocreative.fi,87,16,16
enordic.fi,109,16,21
enqvistbygg.fi,32,6,6
enreach.fi,3584,552,589
ensaemble.com,6183,1005,1121
ensiapukoulutus.info,71,13,13
ensinor.com,2426,368,379
ensintek.com,909,122,136
enss.fi,2747,401,420
ensto.com,295,38,41
ensys.fi,218,37,37
entail.fi,2216,362,382
entoprot.com,6075,942,1078
entteri.com,1603,229,340
enty.io,13494,2326,2522
environmentalacademy.org,2184,339,366
enymind.fi,287,44,48
eo-space.com,700,104,106
eodinsights.com,1694,237,251
eojmedia.com,58,11,11
eolus.fi,1390,212,213
eone.fi,782,122,135
epicmeets.io,6183,1021,1067
epicor.com,1409,223,239
epiece.fi,1307,208,213
epireum.com,1221,159,164
eprent.fi,81,15,15
epress.fi,3767,584,619
epsi-rating.com,1622,236,261
epsi.fi,23,6,6
epsnordics.com,63,9,12
eqela.com,1301,193,206
eqgstudio.com,202,39,41
eqt.fi,3071,472,529
eqtag.fi,3979,617,672
eqtsolutions.fi,3560,601,632
equalityinc.fi,922,134,134
equibliss.fi,202,39,41
equinix.fi,13,3,3
equit.fi,399,55,72
equitatalent.com,1329,199,215
equiwellness.fi,371,63,73
er_tuulen.fi,89,17,17
eracon.fi,651,97,101
eragroup.com,1703,259,266
erantiengineering.fi,1239,180,260
eremenkometsola.com,32,6,6
erent.fi,180,29,30
ergobrass.com,953,142,167
ericapartners.com,71,13,13
erichkrause.fi,55,10,12
erihaus.fi,43,7,7
eriikkasailo.com,71,13,13
erikoiskaluste.com,47,9,9
erikoispaja.fi,71,13,13
erjalyytinen.com,12798,2415,2622
ernoreinikainen.com,535,81,122
ernst.fi,35,5,5
errigalcontracts.com,899,123,138
eschergroup.com,152,21,23
escomsociety.org,2154,328,354
esedu.fi,10875,1394,2987
esett.com,594,91,102
esgaccount.fi,170,25,47
esior.fi,164,28,35
eskolankyla.fi,32,6,6
esma.fi,1098,207,212
esmarin.fi,332,48,54
espasystems.fi,412,59,64
espegue.fi,32,6,6
espitalpizza.fi,225,40,44
espressokeisari.com,71,13,13
essaim.fi,215,35,38
essedel.com,911,137,157
essenti.fi,202,39,41
essey.com,1058,180,194
essiavellan.com,3423,532,760
est.tech,404,67,73
estete.com,49,9,11
estherstudio.co,1254,213,221
estimates.fi,4355,613,702
estkonordic.fi,1489,218,260
esvest.fi,352,57,57
esystems.fi,4902,777,851
etanashop.com,49,9,9
etapalveluhelmi.fi,83,12,13
etha.fi,1368,207,224
ethawind.com,1368,207,224
ethica.fi,1401,204,220
ethicsagency.fi,898,138,152
etiproducts.com,1815,304,331
etko.beer,747,126,137
etosis.com,717,136,140
etruck.fi,2514,372,418
etsnord.com,285,46,49
etteplan.com,2082,304,313
etuma.com,2838,447,480
eudmc.com,2358,352,391
eugentes.com,3270,529,574
euhypoteekki.fi,159,24,24
euneoscourses.eu,2811,412,448
eura-tech.com,11,2,4
eurafric.fi,1952,299,320
eurea.fi,2791,422,587
euroclear.com,848,139,146
euroeat.com,1182,196,233
eurofins.fi,42,5,5
eurogross.fi,26,6,6
euromurning.se,22,4,4
euroottori.fi,71,13,13
europeanhealtheconomics.com,199,29,34
europeanoptics.org,389,64,64
eurorc.fi,247,44,44
eurostep.com,245,32,38
eurowon.fi,333,58,58
eurowork.info,69,12,16
euvic.fi,2701,423,434
evaberry.com,1001,161,176
evaestlander.com,8943,1455,1573
evalingon.com,2284,388,401
evaluoi.ai,4422,688,725
evenio.fi,1059,164,179
evenli.com,71,13,13
evenlock.com,42,8,9
evenpay.io,3799,547,578
eventflow.fi,165,31,51
eventiveme.fi,1705,278,334
eventrim.fi,1762,242,451
events365.fi,1389,227,318
eventu.al,414,80,80
eventune.fi,649,106,109
evergreencapital.fi,955,128,134
everlasting.fi,1531,257,275
evermade.fi,545,85,89
evernorth.fi,904,152,177
eversana.com,2079,288,313
evertaste.com,609,102,109
everyrep.ai,178,30,33
everyweld.fi,617,76,148
evesivonen.com,38,7,7
evexcreative.com,2066,337,359
evexia.fi,1472,248,260
evikom.com,164,28,28
evitec.com,2664,405,454
evogencebio.com,1964,254,308
evogenom.com,1902,331,337
evohall.fi,49,9,9
evokailabs.com,202,39,41
evolase.com,1693,246,324
evolverequity.com,230,36,38
evondos.com,4299,719,791
evonik.com,390,57,62
evopipes.lv,493,76,81
ewals.com,724,100,110
ewatt.fi,6655,988,1060
eworkgroup.com,158,23,26
exafore.com,1207,175,184
exalocus.com,1042,140,158
exaum.com,1549,214,228
excellentia.fi,1192,153,178
excello.fi,328,54,59
excess-baggage.com,3919,628,679
excosoft.fi,5636,954,1019
exebit.fi,442,81,81
execute.fi,32,6,6
executivesfinland.fi,6465,912,990
exendor.com,1197,214,218
exertus.fi,3261,488,510
exethor.fi,3566,515,840
exevi.net,71,13,13
exlibrismetaverse.com,26,6,6
exomi.com,32,6,6
exote-armour.com,72,10,11
exove.fi,1701,286,306
expalot.fi,101,20,20
expanly.com,2474,404,429
expensereduction.com,1703,259,266
experiencetours.fi,232,36,45
experimentica.com,137,17,21
expertise.fi,181,35,36
expertlinks.pl,2023,327,342
exquance.com,176,22,23
extensivelife.com,5358,910,917
extraplan.fi,46,6,8
extreme.consulting,2452,367,404
extremehuskies.com,2547,444,503
extron.fi,550,84,87
ezpalvelut.com,29,6,6
faasti.com,840,164,178
faba.fi,10770,1516,2700
faciplay.com,375,61,68
factly.com,44,6,6
fadezonehelsinki.fi,49,8,11
fadgames.com,625,104,125
fagerholm.fi,1439,222,225
failup.com,1170,368,369
fairarbit.com,3805,526,573
fairdonation.com,239,38,38
fairloco.com,1830,323,358
fairplay.fi,32,6,6
fairspectrum.com,468,70,76
fairway.global,4216,575,656
fairwindinstallation.com,8691,1477,1734
fakefishgames.com,198,36,40
falch.com,807,135,145
falkpro.fi,180,39,40
fallinranta.com,71,13,13
famcare.fi,87,16,16
fament.fi,68,11,11
familja.fi,4436,793,817
fanitage.com,71,13,13
fannivapola.com,835,133,168
fantasiaworks.com,1951,275,289
fantastic.fi,981,174,186
fantasyaccounts.fi,71,13,13
farkku.com,71,13,13
farol.it,323,57,60
faron.com,3952,605,758
farstrider.fi,386,73,80
fas.fi,1051,198,201
fasdeer.fi,128,20,20
fasetti.fi,8928,1231,2427
fashionunit.fi,3054,502,521
fasoco.fi,53,9,14
fasolutions.com,2158,340,362
fast-class.com,831,148,149
fasterways.eu,22,4,4
fasthub.ai,3576,558,593
fastlease.fi,218,37,37
fastmarkets.com,2611,407,448
fastpap.com,2870,426,509
fatgrid.dev,241,35,37
fatlizard.beer,26,6,6
fatramen.fi,180,29,30
fattail.fi,47,8,8
favoniusconsulting.com,1232,170,174
fbscanner.io,843,143,157
fcie.fi,1613,223,247
fcrea.fi,794,127,138
fcsfinland.fi,3229,509,562
feab.fi,176,32,32
feanordic.fi,214,26,30
feathr.com,2347,354,380
featly.fi,966,142,148
fedukfinland.wixsite.com,26,6,6
feelbeat.fi,40,5,5
feelette.com,3250,540,569
feelmax.com,1578,269,285
feelzerog.com,203,39,41
fegime.fi,1258,190,220
feleroid.com,1308,198,207
felesto.fi,22,4,4
felinos.fi,37,5,5
fellas.fi,3391,570,615
fellmanni.fi,71,13,13
felltrek.fi,43,7,8
femeia.fi,32,6,6
femmeworks.fi,71,13,13
fenander.com,237,41,41
fennicagehrman.fi,1374,207,305
fennomuurame.fi,83,12,13
fennopromo.fi,358,55,71
fennosys.fi,529,78,109
fennovoima.fi,71,13,13
fenomenartists.com,540,78,84
fepod.com,1151,181,197
feprog.fi,2757,513,522
feris.fi,180,29,30
ferma.fi,16009,2624,2670
fernonorden.com,3482,555,574
fero.fi,202,39,41
ferol.fi,83,12,13
ferovalo.com,2042,342,363
ferramill.com,820,128,134
ferroman.com,1839,262,286
festa.fi,13,3,3
fetch.fi,4760,667,1115
fewgoodgeeks.com,200,26,28
feynline.com,162,25,25
fg-naxos.fi,1774,258,487
fgb.fi,179,30,30
fges.fi,4443,640,698
fhb.fi,111,20,21
fiander.fi,234,41,45
fiantconsulting.com,1264,172,177
fibernet.fi,7514,1003,1971
fibion.com,966,133,144
fibo.io,717,122,133
fibox.com,2154,337,384
fibresonline.com,299,47,51
ficeltech.com,46,6,6
ficoper.com,831,141,149
fidebon.fi,2877,440,457
fidelity.fi,1665,267,271
fidem.fi,181,31,33
fidico.com,50,8,8
fieldio.io,508,95,99
fieldtrip.fi,406,69,71
fiellberg.fi,1073,165,173
fieno.fi,32,6,6
fiest.io,2149,352,379
fiestamigos.com,170,25,47
fiilingoodfilms.com,1579,246,256
fiilismedia.fi,29,6,6
fiks-lkv.fi,1012,152,193
fiksukauppa.fi,170,25,47
fiksupalvelu.fi,189,29,34
filetuote.fi,46,8,8
fillabicycles.com,32,6,6
filma.fi,115,19,19
filmdoc.fi,78,14,14
filmfly.fi,278,41,50
filtrabit.com,4936,759,855
filum.fi,180,29,30
fimentum.fi,2648,414,442
fimtest.fi,32,6,6
fin-al-trading.com,1233,203,215
finacs.fi,234,41,45
finageek.com,60,9,14
finago.com,707,124,128
finails.com,202,39,41
finaje.com,49,9,11
finalgo.com,842,116,151
finarte.fi,349,59,64
fination.fi,202,39,41
finbiosoft.com,91,12,12
fincare.fi,202,39,41
finconsult.fi,8911,1382,1436
findapro.fi,2313,414,435
finde-consulting.com,473,72,82
findersseekers.io,1660,285,292
findin.fi,263,48,51
fineducation.fi,1091,158,176
fineduconsult.com,187,33,33
finemal.com,202,39,41
fineod.com,368,52,56
finepass.fi,3125,401,415
finestfm.fi,248,48,57
finesttalent.io,143,26,27
finetextech.com,317,47,58
fingtapsolutions.com,47,9,9
finh.com,113,16,18
finhome.fi,51,13,14
finiks.fi,2803,395,411
finjector.com,3264,601,678
finlandholidays.fi,989,178,183
finlandrelocation.com,33,5,8
finlandseaside.com,5957,992,1179
finleeds.com,1380,211,212
finliret.com,229,36,45
finlock.fi,1130,167,174
finluxfinland.com,161,32,32
finn-mica.com,32,6,6
finn-tips.fi,302,48,48
finnaali.fi,103,15,23
finnaccuracy.com,73,14,15
finnagio.com,171,27,28
finnamie.com,4771,809,1012
finnapps.fi,43,5,6
finnaspalvelut.com,202,39,41
finnboom.com,8246,1229,1317
finnbrit.fi,1860,315,328
finnchain.fi,3086,452,521
finnclaims.fi,73,15,15
finncoming.fi,182,32,38
finncredible.com,212,40,47
finnday.com,83,12,13
finndiscs.fi,501,98,107
finneasy.com,135,21,21
finnelectric.fi,1601,211,387
finnero.com,11356,1923,1994
finnester.fi,2156,328,344
finnglass.com,1820,257,300
finngroup.org,71,13,13
finngrowers.com,8273,1298,1455
finnhls.fi,1428,235,255
finninno.fi,32,6,6
finnishdesignshop.com,164,26,27
finnishdesignsocks.com,22,4,4
finnisheducationinstitute.fi,892,133,137
finnishequestrian.com,465,64,73
finnishigamingevents.fi,5088,786,962
finnishline.co,3429,524,560
finnishtrainingacademy.com,71,13,13
finnloop.fi,2669,412,450
finnmech.com,55,10,12
finnmek.fi,175,36,38
finnobit.com,3926,686,692
finnolia.com,292,48,48
finnomedical.fi,246,41,43
finnoppi.com,3753,541,603
finnovatec.com,36,6,7
finnplay.com,6172,935,1063
finnpowder.com,53,9,13
finnrunner.fi,130,29,30
finnskydrone.fi,71,13,13
finnspec.com,5194,799,845
finnstopper.fi,181,40,41
finntera.com,1768,248,267
finntyr.com,699,105,108
finnvolt.fi,29,6,6
finnza.com,87,16,16
finonlinestore.com,29,6,6
finqu.com,219,36,39
finrehab.com,747,106,114
finrem.fi,40,5,5
finrenes.com,4946,753,907
finrx.fi,87,16,16
finsad.net,50,12,14
finschool.fi,2006,354,404
finsling.com,9294,1395,1696
finspiringeducation.fi,1393,207,225
finsudan.com,3168,534,568
finterlabs.com,711,103,108
finvacdryers.fi,3496,597,649
finwe.fi,161,25,25
finzo.fi,205,33,36
firelink-systems.com,496,69,71
firemind.com,465,69,78
firemonkey.tv,3045,514,598
firmansivut.com,58,11,11
firstaid.fi,202,39,41
firstar.fi,1418,219,237
firstbrokers.fi,4947,753,799
fiseou.fi,202,39,41
fishersci.fi,13,3,3
fishheart.com,80,11,17
fiskarsgroup.com,1404,214,226
fisplay.com,32,6,6
fitline.com,260,48,49
fitnessfuture.fi,30,7,7
fitnesswithfat.com,164,28,28
fitperformance.fi,202,39,41
fitrayti.com,979,150,154
fitsec.com,1373,205,212
fittravelapp.com,163,29,30
fittymurmel.com,87,16,16
fiturix.com,2108,365,380
fitzgeraldsgroup.com,71,13,13
fiuge.com,32,6,6
fivedayslunch.fi,171,27,28
fiveninesgroup.com,601,93,95
fivepack.fi,29,6,6
fix.earth,164,28,28
fix4u.fi,22,4,4
fixably.com,2201,329,350
fixnstyle.com,3169,534,567
fixukatto.fi,22,4,4
fixuluuri.fi,992,163,180
fixuway.com,2002,255,266
flairko.com,939,153,153
flamejazzrecords.com,97,15,19
flamia.fi,1063,185,199
flassi.fi,178,36,56
flatlight.fi,1277,201,219
flatpush.fi,4829,724,849
flavoursolutions.fi,1272,212,234
flaxwood.com,677,93,116
fleethub.io,3912,584,695
fleetlogis.com,23,4,6
flexhoofboots.com,4194,719,757
flexibilis.com,1847,284,330
flexiteek.fi,1767,273,305
flexound.com,1515,236,259
flextronics.com,1846,270,283
flexwert.fi,234,41,45
floapps.com,1476,225,274
flootech.com,793,113,118
flosscare.biz,1000,129,233
floud.com,26,6,6
flovi.io,220,40,40
flovv.io,446,71,72
flow-computing.com,7168,1097,1199
flowbar.fi,1091,188,240
flowcreator.fi,3024,532,538
flowersandwine.fi,818,146,152
flowersoflife.net,2487,424,440
flowfestival.com,265,44,78
flowhaven.com,4311,658,680
flowi.fi,58,11,11
flowinbound.com,164,28,28
flowlion.com,197,30,33
flowman.fi,886,131,145
flowplayer.com,1815,276,285
flowrite.com,1340,214,238
flowstore.fi,43,6,15
flowtt.fi,71,13,13
flsfinland.com,69,10,10
fluentic.com,4500,652,691
fluentor.fi,812,105,117
fluentscale.com,204,34,36
fluidit.com,2118,306,316
fluivia.com,1732,259,275
fluo.fi,2341,355,427
fluxion.app,165,31,31
flyar.fi,324,56,62
flybyguys.com,441,51,52
flyc.fi,50,8,8
flyingacorn.studio,2085,365,390
flyingchoppers.com,726,122,125
flyingplatestore.fi,393,65,70
flywell.fi,49,8,8
fmclogistics.fi,234,41,45
fmecg.com,87,16,16
fnsteel.com,2977,490,536
fnz.com,552,79,80
fo-rent.fi,400,59,116
fobia.fi,180,29,30
focusinteriors.fi,1751,270,496
focuspoint.fi,55,10,12
focustiger.io,3890,607,821
fohn.energy,452,84,89
foil.one,71,13,13
fokuslaki.fi,71,13,13
fokusnordic.com,6711,992,1155
folla.fi,3671,530,846
fomistudio.com,71,13,13
foodbrands.fi,155,25,27
foodora.fi,844,145,146
footbalance.com,2675,476,513
for.co,1309,211,226
forciot.com,2095,303,368
forculus.fi,37,5,5
foremanbikes.com,1244,200,215
forenel.com,524,85,104
forerunner.fi,35,5,5
forestfoody.fi,180,29,30
forestoy.fi,47,9,9
foreverclub.fi,23197,3326,5120
forgedigital.fi,2165,316,372
forgery.studio,344,56,61
formalfridayclothing.com,402,60,68
formatec.fi,37,5,5
formlos.fi,4408,736,781
formunion.fi,254,47,47
formverk.com,129,24,24
forrest-lab.com,58,11,11
forset.fi,87,17,22
forthesakeofbeings.com,87,16,16
fortisnova.eu,2068,320,346
fortrea.com,1353,193,215
fortress-sound.fi,89,13,14
forumnordic.com,52,6,10
foryoutampere.fi,29,6,6
fosfor.io,87,16,16
fosira.com,3166,534,566
fotomonza.com,171,27,28
fotonisoftware.fi,4657,757,830
foudila.fi,1595,254,267
foulfighter.com,118,20,20
fount.gallery,360,56,65
fountainsprings.com,58,9,13
fourfm.com,2087,339,359
fower.fi,2940,424,450
foxdo.fi,352,60,60
foxhound.fi,191,29,29
foxhub.fi,2054,326,343
foxie.ai,1744,263,272
foxpaint.fi,496,70,134
fp.fi,635,101,115
fractaldust.com,411,61,61
fractionalexecutive.info,164,28,28
fractuscan.fi,147,19,19
fragity.com,50,9,11
fraktal.fi,598,102,108
framcochemicals.com,1215,169,231
framerate.fi,957,155,161
frameright.io,474,68,73
framery.com,2011,325,344
framespesut.fi,202,39,41
framgo.com,69,10,19
framian.fi,7584,1138,1156
framme.com,1326,219,241
franckdoc.fi,392,52,64
frangipani.fi,26,6,6
fravola.fi,71,13,13
freakdancerecords.net,15474,2566,2900
fredchill.ax,192,37,44
fredse.fi,6376,999,1126
freedomak.fi,26,6,6
freedomfunnels.com,2546,453,483
freeed.com,38,6,6
freesi.io,5995,903,934
freetox.fi,171,34,55
freewebs.com,1153,202,212
freightopt.com,6898,1128,1207
freimi.com,257,47,47
frendiks.fi,151,21,39
frequencyevent.com,10421,1874,2173
freshin.fi,32,6,6
