domain,Char_clean,Words_clean,Tokens
ai-priori.com,631,108,118
aiatella.com,184,28,28
aiben.io,4702,707,757
aibidia.com,463,74,76
aicando.fi,1067,157,176
aicci.fi,162,22,27
aico.ai,214,30,35
aicontentfy.com,570,87,94
aicustomerhelp.com,157,27,29
aidasolutions.fi,2428,384,402
aiddo.fi,225,37,37
aidertech.com,167,23,29
aidine.fi,1655,246,254
aidrax.fi,943,136,144
aifabrix.ai,5442,785,839
aigis.fi,29,6,6
aigol.eu,807,113,124
aii.fi,316,53,54
aikagroup.com,814,112,122
aikaisannointi.fi,1266,192,195
aikamuoto.com,96,9,18
aikara.fi,896,113,142
aikeet.com,52,9,9
aikidai.com,1548,256,273
aikonpartners.com,4803,792,833
ailecon.fi,394,54,54
ailene.ai,202,39,41
ailivesim.com,5072,745,794
aimget.com,130,24,24
aims.fi,6199,933,986
aimvisual.fi,202,39,41
aino.ar,429,74,76
ainoawinery.com,463,79,82
ainohealth.com,2533,380,402
air4hum.com,2774,372,412
airaction.fi,181,35,36
airakorpi.com,43,8,11
airavia.fi,267,40,44
airboats.fi,171,27,28
airbp.com,1729,276,297
aircohol.com,697,112,145
airdice.com,557,103,105
airestate.fi,202,39,41
airfaas.com,1437,234,239
airforte.com,396,54,56
airistoline.fi,35,5,5
airmodus.com,905,139,168
airnow.fi,1108,183,194
airportcollege.com,1442,215,239
airyn.fi,3926,571,605
aisiivousplus.fi,60,13,13
aisofos.com,326,46,51
aisti.com,277,42,45
aistico.com,100,14,14
aitcom.fi,18,4,7
aitoleipa.fi,538,87,91
aitosauna.com,1642,274,303
aitovire.com,1870,285,297
aittoflow.com,271,39,54
aivan.ai,178,37,57
aiven.io,1599,260,299
aivon.fi,275,42,51
aivosto.com,616,85,95
aiwo.ai,4533,672,709
ajanconsulting.com,71,14,14
ajate.com,3165,534,566
ajatelma.com,240,44,44
ajo.fi,547,95,123
ajois.com,93,14,17
ajokorttiverkosta.fi,171,27,28
ajolaatu.fi,224,31,31
ajotaito.net,47,9,9
ajtu.fi,37,5,5
ajv-eng.fi,714,108,127
akateemisetmuusikot.fi,26,6,6
akc.fi,332,67,79
akelaband.com,2483,330,364
akersolutions.com,1340,194,222
akimiettinen.com,226,34,49
akita.bio,245,34,38
